"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.194869487E0	5.992501974E-3	6.733372808E-3	-5.945968628E-2	6.013902794E-2
1.199589487E0	-2.487837151E-2	-7.553309202E-3	-5.659103394E-2	6.227785297E-2
1.204309540E0	6.147166714E-3	-1.225729659E-2	-6.798362732E-2	6.935274012E-2
1.209029540E0	-1.051535830E-2	2.089034766E-3	-6.741714478E-2	6.826425299E-2
1.213749540E0	3.808440641E-3	-7.357064635E-3	-1.939773560E-2	2.109271833E-2
1.218469592E0	-1.992543414E-2	-1.435165852E-2	-1.923656464E-2	3.119356419E-2
1.223189592E0	1.820545271E-2	-2.608966827E-2	1.414394379E-2	3.481609462E-2
1.227909644E0	-1.042212546E-2	-1.637391746E-2	1.165294647E-2	2.263883905E-2
1.232629644E0	1.339226961E-2	-2.809507586E-2	1.630115509E-2	3.513422591E-2
1.237349644E0	6.132615730E-3	-1.124405116E-2	-4.444122314E-4	1.281542681E-2
1.242069696E0	2.026158571E-2	-1.826219261E-2	6.676673889E-3	2.808233446E-2
1.246789696E0	8.227048442E-3	3.252737224E-3	6.621360779E-3	1.105020561E-2
1.251509696E0	-1.319857500E-2	-3.886122257E-3	3.978729248E-2	4.209908516E-2
1.256229748E0	3.576258197E-3	-8.592702448E-3	5.369281769E-2	5.449351181E-2
1.260949748E0	-8.291263133E-3	-2.749735303E-2	7.460117340E-2	7.993862984E-2
1.265669748E0	1.296058297E-3	-2.491649240E-2	7.160663605E-2	7.582889744E-2
1.270389800E0	-1.055245474E-2	1.371685416E-3	6.389141083E-2	6.477150762E-2
1.275109800E0	1.398615539E-3	1.339085400E-3	6.573200226E-2	6.576051548E-2
1.279829800E0	-1.045059599E-2	-8.184686303E-3	7.467556000E-2	7.584618189E-2
1.284549852E0	1.527607441E-3	6.099645048E-3	4.083347321E-2	4.131478898E-2
1.289269852E0	1.106093824E-2	1.554707438E-2	5.235767365E-2	5.572595325E-2
1.293989852E0	-8.970797062E-4	-1.779611781E-2	6.615924835E-2	6.851680599E-2
1.298709904E0	6.227763370E-3	-8.149482310E-3	4.899692535E-2	5.005894318E-2
1.303429904E0	1.456810161E-3	1.090829819E-2	4.384231567E-2	4.520245468E-2
1.308149904E0	-9.013488889E-4	-1.055963337E-2	6.008815765E-2	6.101561257E-2
1.312869956E0	8.652390912E-3	1.323600858E-2	2.873992920E-2	3.280303831E-2
1.317589956E0	1.807053760E-2	8.386753500E-3	1.189041138E-2	2.320051392E-2
1.322309956E0	1.317306235E-2	-1.543305069E-2	2.365684509E-2	3.116656775E-2
1.327030008E0	1.169605181E-3	1.314896718E-2	1.159477234E-2	1.756991917E-2
1.331750008E0	1.062196493E-2	-8.337814361E-3	3.048038483E-2	3.333765358E-2
1.336470008E0	-1.332242042E-3	8.348654956E-3	-1.248550415E-2	1.507855173E-2
1.341190060E0	-1.238446683E-3	-8.296292275E-3	-4.797363281E-2	4.870145440E-2
1.345910060E0	-3.742389381E-3	-3.435012698E-2	3.310394287E-2	4.785193555E-2
1.350630060E0	1.993237436E-2	-3.171217069E-2	-2.649497986E-2	4.587968260E-2
1.355350112E0	1.741994917E-2	-1.485898718E-2	-9.983348846E-2	1.024254341E-1
1.360070112E0	-2.541023865E-2	-2.184691839E-2	-4.205131531E-2	5.377063502E-2
1.364790112E0	-1.810910366E-2	-2.702973783E-3	2.236652374E-2	2.890513946E-2
1.369510165E0	-2.750682086E-2	2.334418893E-2	-1.341342926E-2	3.849021220E-2
1.374230165E0	-3.521913663E-3	1.598193869E-2	-8.448791504E-2	8.605831760E-2
1.378950217E0	1.082755812E-2	6.364118308E-3	-1.051406860E-1	1.058881574E-1
1.383670217E0	-1.302090846E-2	2.055510506E-2	-6.977081299E-3	2.531276486E-2
1.388390217E0	1.267500222E-3	1.084304228E-2	4.765796661E-2	4.889232971E-2
1.393110217E0	1.255659387E-3	1.782217622E-2	-1.680755615E-2	2.452958600E-2
1.397830269E0	2.025480568E-2	3.417862207E-2	-5.700588226E-2	6.948457363E-2
1.402550269E0	1.073382795E-3	1.726228371E-2	-5.415725708E-2	5.685197520E-2
1.407270269E0	2.710890584E-2	2.187100053E-2	-2.048587799E-2	4.040921475E-2
1.411990321E0	1.264442317E-2	1.926671341E-2	-3.217887878E-2	3.957989291E-2
1.416710321E0	7.291603833E-4	2.623152733E-2	-5.564022064E-2	6.151795554E-2
1.421430321E0	7.776021957E-4	2.599168196E-2	-2.432918549E-2	3.561013146E-2
1.426150373E0	1.023323648E-2	-3.478676081E-4	1.146697998E-2	1.537308591E-2
1.430870373E0	2.999739721E-3	-2.739187330E-3	-9.984970093E-3	1.077966666E-2
1.435590373E0	-4.145344719E-3	1.980178058E-3	-9.902000427E-3	1.091579591E-2
1.440310425E0	6.335265934E-4	-4.584304988E-4	2.045631409E-3	2.190005098E-3
1.445030425E0	-1.120962761E-2	1.136057451E-2	9.146690369E-3	1.839511754E-2
1.449750477E0	-1.583560184E-2	-7.766470313E-3	-4.205703735E-4	1.764259692E-2
