"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
9.016062230E-1,6.089782715E-2,1.022338867E-3,-2.050781250E-2,6.426632790E-2
9.065805880E-1,5.398559570E-2,4.882812500E-4,-1.838684082E-2,5.703296308E-2
9.115854710E-1,4.652404785E-2,4.882812500E-4,-1.731872559E-2,4.964537947E-2
9.165598360E-1,3.746032715E-2,-5.798339844E-4,-1.997375488E-2,4.245660375E-2
9.215647190E-1,3.108215332E-2,-4.577636719E-5,-2.583312988E-2,4.041599869E-2
9.265696020E-1,2.468872070E-2,1.556396484E-3,-3.382873535E-2,4.190869403E-2
9.315744850E-1,1.562500000E-2,1.022338867E-3,-4.075622559E-2,4.366068856E-2
9.365793680E-1,3.906250000E-3,-2.166748047E-3,-4.554748535E-2,4.576600275E-2
9.415842500E-1,-9.399414062E-3,-4.302978516E-3,-5.300903320E-2,5.400761252E-2
9.465586160E-1,-2.058410645E-2,-8.026123047E-3,-5.885314941E-2,6.286348133E-2
9.515634990E-1,-2.644348145E-2,-1.335144043E-2,-6.312561035E-2,6.973063426E-2
9.565378640E-1,-3.497314453E-2,-1.495361328E-2,-6.419372559E-2,7.461612288E-2
9.615427470E-1,-3.976440430E-2,-1.281738281E-2,-6.578063965E-2,7.792679708E-2
9.665171120E-1,-4.243469238E-2,-1.123046875E-2,-6.419372559E-2,7.776670850E-2
9.715219950E-1,-3.709411621E-2,-5.905151367E-3,-6.045532227E-2,7.117366269E-2
9.765268770E-1,-3.018188477E-2,-3.234863281E-3,-5.885314941E-2,6.622011556E-2
9.815317600E-1,-2.804565430E-2,-2.166748047E-3,-5.459594727E-2,6.141637387E-2
9.865061250E-1,-2.378845215E-2,-1.632690430E-3,-4.873657227E-2,5.425688537E-2
9.915110080E-1,-2.005004883E-2,4.882812500E-4,-4.394531250E-2,4.830562459E-2
9.965158910E-1,-1.899719238E-2,2.090454102E-3,-3.968811035E-2,4.405007855E-2
1.001490256E0,-1.579284668E-2,2.624511719E-3,-3.489685059E-2,3.839390901E-2
1.006495139E0,-1.419067383E-2,-5.798339844E-4,-3.169250488E-2,3.472932906E-2
1.011500022E0,-1.046752930E-2,-2.700805664E-3,-3.222656250E-2,3.399139378E-2
1.016474387E0,-1.419067383E-3,-3.234863281E-3,-3.222656250E-2,3.241958395E-2
1.021479270E0,7.644653320E-3,-2.700805664E-3,-3.382873535E-2,3.478675626E-2
1.026484153E0,1.722717285E-2,-1.113891602E-3,-3.436279297E-2,3.845539988E-2
1.031489036E0,2.415466309E-2,-5.798339844E-4,-3.755187988E-2,4.465341688E-2
1.036463401E0,2.734375000E-2,1.556396484E-3,-3.968811035E-2,4.822083717E-2
1.041468284E0,3.108215332E-2,-1.632690430E-3,-4.180908203E-2,5.212259849E-2
1.046473166E0,2.947998047E-2,-2.700805664E-3,-4.341125488E-2,5.254427324E-2
1.051478049E0,2.468872070E-2,-3.234863281E-3,-4.341125488E-2,5.004532267E-2
1.056452415E0,1.936340332E-2,-4.837036133E-3,-4.394531250E-2,4.826519240E-2
1.061457297E0,1.615905762E-2,-2.700805664E-3,-4.394531250E-2,4.689989323E-2
1.066431663E0,1.243591309E-2,-2.166748047E-3,-3.968811035E-2,4.164724282E-2
1.071436545E0,9.231567383E-3,-2.700805664E-3,-3.648376465E-2,3.773037597E-2
1.076441428E0,7.644653320E-3,-3.768920898E-3,-3.329467773E-2,3.436831469E-2
1.081415793E0,6.042480469E-3,-1.113891602E-3,-2.690124512E-2,2.759400865E-2
1.086451194E0,4.440307617E-3,-4.577636719E-5,-2.317810059E-2,2.359963504E-2
1.091456077E0,2.319335938E-3,1.022338867E-3,-2.104187012E-2,2.119398014E-2
1.096430442E0,1.831054688E-4,2.090454102E-3,-2.317810059E-2,2.327289996E-2
1.101435325E0,-3.509521484E-4,-5.798339844E-4,-2.636718750E-2,2.637589717E-2
1.106409690E0,2.319335938E-3,-2.700805664E-3,-3.062438965E-2,3.083061647E-2
1.111414573E0,2.853393555E-3,-5.905151367E-3,-3.808593750E-2,3.864649147E-2
1.116419456E0,1.243591309E-2,-5.371093750E-3,-4.766845703E-2,4.955585110E-2
